"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"CZE","","ALL","1985","30.14"
"CZE","","ALL","1986","24.68"
"CZE","","ALL","1987","21.22"
"CZE","","ALL","1988","19.77"
"CZE","","ALL","1989","18.38"
"CZE","","ALL","1990","18.69"
"CZE","","ALL","1991","20.17"
"CZE","","ALL","1992","19.25"
"CZE","","ALL","1993","18.04"
"CZE","","ALL","1994","18.96"
"CZE","","ALL","1995","17.75"
"CZE","","ALL","1996","19.09"
"CZE","","ALL","1997","17.8"
"CZE","","ALL","1998","17.53"
"CZE","","ALL","1999","15.61"
"CZE","","ALL","2000","13.76"
"CZE","","ALL","2001","12.63"
"CZE","","ALL","2002","11.33"
"CZE","","ALL","2003","11.06"
"CZE","","ALL","2004","10.06"
"CZE","","ALL","2005","9.51"
"CZE","","ALL","2006","9.17"
"CZE","","ALL","2007","7.65"
"CZE","","ALL","2008","7.74"
"CZE","","ALL","2009","6.02"
"CZE","","ALL","2010","5.89"
"CZE","","ALL","2011","5.41"
"CZE","","ALL","2012","5.38"
"CZE","","ALL","2013","4.48"
"CZE","","ALL","2014","4.5"
"CZE","","ALL","2015","4.82"
"CZE","","ALL","2016","4.84"
"CZE","","ALL","2017","4.71"
"CZE","","ALL","2018","4.09"
"CZE","","ALL","2019","4.31"
"CZE","","ALL","2020","3.37"
"DEU","","ALL","1990","18.46"
"DEU","","ALL","1991","16.85"
"DEU","","ALL","1992","17.51"
"DEU","","ALL","1993","17.44"
"DEU","","ALL","1994","15.94"
"DEU","","ALL","1995","14.94"
"DEU","","ALL","1996","14.43"
"DEU","","ALL","1997","13.6"
"DEU","","ALL","1998","12.73"
"DEU","","ALL","1999","12.15"
"DEU","","ALL","2000","11.03"
"DEU","","ALL","2001","8.45"
"DEU","","ALL","2002","8.4"
"DEU","","ALL","2003","8.51"
"DEU","","ALL","2004","7.51"
"DEU","","ALL","2005","6.91"
"DEU","","ALL","2006","6.24"
"DEU","","ALL","2007","5.66"
"DEU","","ALL","2008","5.04"
"DEU","","ALL","2009","5.09"
"DEU","","ALL","2010","4.96"
"DEU","","ALL","2011","4.97"
"DEU","","ALL","2012","4.92"
"DEU","","ALL","2013","5.2"
"DEU","","ALL","2014","5.37"
"DEU","","ALL","2015","7.03"
"DEU","","ALL","2016","7.11"
"DEU","","ALL","2017","6.64"
"DEU","","ALL","2018","6.54"
"DEU","","ALL","2019","5.75"
"DEU","","ALL","2020","4.98"
"DNK","","ALL","1980","8.39"
"DNK","","ALL","1981","7.69"
"DNK","","ALL","1982","7.39"
"DNK","","ALL","1983","6.8"
"DNK","","ALL","1984","5.91"
"DNK","","ALL","1985","6.1"
"DNK","","ALL","1986","5.84"
"DNK","","ALL","1987","6.28"
"DNK","","ALL","1988","5.93"
"DNK","","ALL","1989","6.39"
"DNK","","ALL","1990","6.81"
"DNK","","ALL","1991","6.48"
"DNK","","ALL","1992","6.94"
"DNK","","ALL","1993","7.92"
"DNK","","ALL","1994","9.51"
"DNK","","ALL","1995","8.57"
"DNK","","ALL","1996","9.2"
"DNK","","ALL","1997","10.48"
"DNK","","ALL","1998","9.98"
